UID,Title,Medium,Size,Qty,Price
,Liatris,Watercolor Print,,5,16
,Geranium,Watercolor Print,,5,16
,Daffodils,Watercolor Print,,5,16
,Cherry Tree,Watercolor Print,,5,16
,Wheelbarrow,Watercolor Print,,5,16
,Harden with Birdbath,Watercolor Print,,5,16
,Feather,Watercolor Print,,5,16
,Chickadee,Watercolor Print,,5,16
,Nest,Watercolor Print,,5,16
,Maine-Where Rock Meets the Sea,Watercolor,,1,1500
,A Quite Walk,Watercolor,,1,1500
,River's Edge,Watercolor,,1,1500
,Summer Stream,Watercolor,,1,1500
,Horse-Running WIld,Watercolor,,1,650
,Horse-Running Free,Watercolor,,1,750
,Snowy Walk,Watercolor,,1,750
,Sparrow,Watercolor,,1,170
,Egnet in the Woods,Watercolor,,1,225
,Chickadee,Graphite,,1,225